tiling,generation,new_vibes_born_together,total_vibes_after,first_id,last_id
7-3,0,1,1,0,0
7-3,1,3,4,1,3
7-3,2,9,13,4,12
7-3,3,27,40,13,39
7-3,4,81,121,40,120
7-3,5,243,364,121,363
7-3,6,729,1093,364,1092
3-7,0,1,1,0,0
3-7,1,7,8,1,7
3-7,2,21,29,8,28
3-7,3,63,92,29,91
3-7,4,189,281,92,280
3-7,5,567,848,281,847
5-4,0,1,1,0,0
5-4,1,5,6,1,5
5-4,2,15,21,6,20
5-4,3,40,61,21,60
5-4,4,105,166,61,165
5-4,5,275,441,166,440
5-4,6,720,1161,441,1160
4-5,0,1,1,0,0
4-5,1,5,6,1,5
4-5,2,15,21,6,20
4-5,3,45,66,21,65
4-5,4,135,201,66,200
4-5,5,405,606,201,605
8-3,0,1,1,0,0
8-3,1,3,4,1,3
8-3,2,9,13,4,12
8-3,3,27,40,13,39
8-3,4,81,121,40,120
8-3,5,243,364,121,363
8-3,6,729,1093,364,1092
8-4,0,1,1,0,0
8-4,1,4,5,1,4
8-4,2,24,29,5,28
8-4,3,144,173,29,172
8-4,4,864,1037,173,1036
