name,symbol,value,uncertainty,unit,type,source,verified,note
speed of light in vacuum,c,299792458,0,m/s,defined,SI-2019,2026-06-24,exact by SI definition
Planck constant,h,6.62607015e-34,0,J s,defined,SI-2019,2026-06-24,exact since 2019 SI redefinition
reduced Planck constant,hbar,1.054571817e-34,0,J s,defined,SI-2019,2026-06-24,h over 2 pi (exact)
elementary charge,e,1.602176634e-19,0,C,defined,SI-2019,2026-06-24,exact since 2019 SI
Boltzmann constant,k_B,1.380649e-23,0,J/K,defined,SI-2019,2026-06-24,exact since 2019 SI
Avogadro constant,N_A,6.02214076e23,0,1/mol,defined,SI-2019,2026-06-24,exact since 2019 SI
Newtonian gravitational constant,G,6.67430e-11,0.00015e-11,m^3 / kg / s^2,measured,CODATA-2022,2026-06-24,least precisely known fundamental constant (unchanged 2018 to 2022)
fine-structure constant,alpha,7.2973525643e-3,0.0000000011e-3,dimensionless,measured,CODATA-2022,2026-06-24,about 1 / 137.035999 (CODATA-2022; was ...5693 in 2018)
inverse fine-structure constant,1/alpha,137.035999177,0.000000021,dimensionless,measured,CODATA-2022,2026-06-24,the famous 137 (CODATA-2022; was ...084 in 2018)
vacuum permeability,mu_0,1.25663706127e-6,0.00000000020e-6,N / A^2,measured,CODATA-2022,2026-06-24,no longer exact after 2019 (CODATA-2022)
electron volt,eV,1.602176634e-19,0,J,defined,SI-2019,2026-06-24,from the elementary charge
Fermi coupling constant,G_F,1.1663788e-5,0.0000006e-5,GeV^-2,measured,PDG-2024,2026-06-24,weak interaction strength (PDG-2024; last digit 8)
Higgs vacuum expectation value,v,246.21965,0.00006,GeV,measured,PDG-2024,2026-06-24,electroweak scale; derived v = (sqrt2 G_F)^-1/2
strong coupling at the Z mass,alpha_s(M_Z),0.1180,0.0009,dimensionless,measured,PDG-2024,2026-06-24,QCD coupling (PDG-2024; was 0.1179)
weak mixing angle (MS-bar at M_Z),sin^2(theta_W),0.23129,0.00004,dimensionless,measured,PDG-2024,2026-06-24,MS-bar value (PDG-2024; was 0.23121); effective leptonic angle differs at 0.23161
Planck mass,m_P,1.220890e19,0.000014e19,GeV/c^2,derived,CODATA-2022,2026-06-24,sqrt(hbar c / G)
Planck length,l_P,1.616255e-35,0.000018e-35,m,derived,CODATA-2022,2026-06-24,sqrt(hbar G / c^3)
Planck time,t_P,5.391247e-44,0.000060e-44,s,derived,CODATA-2022,2026-06-24,sqrt(hbar G / c^5)
Rydberg constant,R_inf,10973731.568157,0.000012,1/m,measured,CODATA-2022,2026-06-24,atomic spectra scale (CODATA-2022; was ...160)
Bohr radius,a_0,5.29177210544e-11,0.00000000082e-11,m,measured,CODATA-2022,2026-06-24,hydrogen ground-state radius (CODATA-2022; was ...10903)
electron magnetic moment anomaly,a_e,1.15965218046e-3,0.00000000018e-3,dimensionless,measured,CODATA-2022,2026-06-24,(g-2)/2 for the electron (CODATA-2022; was ...18059)
muon magnetic moment anomaly,a_mu,1.16592062e-3,0.00000041e-3,dimensionless,measured,CODATA-2022,2026-06-24,(g-2)/2 for the muon (CODATA-2022; was ...2059); shows tension with theory
Hubble constant (Planck CMB),H_0,67.4,0.5,km/s/Mpc,measured,Planck-2018,2026-06-24,in tension with local distance-ladder 73.04 (SH0ES Riess 2022)
local Hubble constant (SH0ES),H_0,73.04,1.04,km/s/Mpc,measured,Planck-2018,2026-06-24,Riess et al. 2022 distance-ladder; ~5 sigma above Planck (the Hubble tension)
dark energy density fraction,Omega_Lambda,0.6889,0.0056,dimensionless,measured,Planck-2018,2026-06-24,Planck 2018 VI Table 2 (TT,TE,EE+lowE+lensing)
matter density fraction,Omega_m,0.3111,0.0056,dimensionless,measured,Planck-2018,2026-06-24,Planck 2018 VI Table 2
CMB temperature,T_CMB,2.72548,0.00057,K,measured,Planck-2018,2026-06-24,COBE/FIRAS (Fixsen 2009)
